エレベーターID,更新日,契約状況,台数,地区,契約日,保守開始月,現場区分,管理番号,旧管理番号,入札判定,契約方式,請求サイクル　数字,契約金額,点検者制約（資格者等）,現場名,現場名ﾌﾘｶﾞﾅ,現場郵便番号,現場住所,マップ,現場TEL,現場FAX,昇降機種別,その他(種別),メーカー,その他(メーカー),機種,旧機種,部品供給停止予定,照明LED化完了日,巻上機型式,駆動方式,その他(駆動方式),製造年月日,リニューアル施工年月,MFG番号,定員,その他(定員),積載,その他(積載),速度,その他(速度),停止階床,遠隔監視種別,遠隔監視装置　回線種別,遠隔監視装置　回線番号,egsコード,点検サイクル,検査有効月,検査実施月,整理番号,契約者,契約者ﾌﾘｶﾞﾅ,契約者（役職名）,契約者（法人）代表者名,契約者（法人）代表者名ﾌﾘｶﾞﾅ,契約者郵便番号,契約者住所,契約者TEL,契約者FAX,報告書郵送先,請求サイクル,所有者,所有者ﾌﾘｶﾞﾅ,所有者郵便番号,所有者住所,所有者TEL,所有者FAX,管理者,管理者ﾌﾘｶﾞﾅ,管理者郵便番号,管理者住所,管理者TEL,管理者FAX,備考,点検連絡など担当者、報告書,鍵保管場所
E-000000711,2025/7/29 11:37,契約中,1,長崎,,2017年3月,自社,N42-0325,107-0490-01,一般,YP4V,1,16000,制約なし,セントラルパークマンション,ｾﾝﾄﾗﾙﾊﾟｰｸﾏﾝｼｮﾝ,852-8122,長崎県長崎市西山台2-4-13,"https://www.google.co.jp/maps/place/%E3%80%92852-8122+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E8%A5%BF%E5%B1%B1%E5%8F%B0%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%94%E2%88%92%EF%BC%91%EF%BC%93+%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E3%83%91%E3%83%BC%E3%82%AF+%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3/@32.781654,129.8887801,17z/data=!3m1!4b1!4m6!3m5!1s0x356aac9bb4ac8763:0xf12b89212320f6e2!8m2!3d32.7816495!4d129.891355!16s%2Fg%2F12hldyxhs?entry=ttu",,,ルームレスエレベーター,,日立,,F95,,,,,ルームレス,,1999/3/1,,MR0262,6人,,450㎏,,60m/min,,5st,egs,LTE,8053231530,168,"3月	6月	9月	12月",12月,未定,0001-02007,有限会社エヌ企画　代表取締役　西津俊光,ｴﾇｷｶｸ ﾆｼﾂﾄｼﾐﾂ,,,,850-0871,長崎県長崎市麹屋町2-8,095-823-7190,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",エヌ企画　代表取締役　西津俊光,ｴﾇｷｶｸ ﾆｼﾂﾄｼﾐﾂ,850-0871,長崎県長崎市麹屋町２－８,095-823-7190,,エヌ企画　代表取締役　西津俊光,ｴﾇｷｶｸ ﾆｼﾂﾄｼﾐﾂ,850-0871,長崎県長崎市麹屋町２－８,095-823-7190,,,,
E-000000712,2025/7/29 11:37,契約中,1,長崎,,2015年3月,自社,N42-0288,107-0449-01,一般,YP4V,1,12000,制約なし,栂の木ビル,ﾂｶﾞﾉｷﾋﾞﾙ,852-8108,長崎県長崎市川口町4-14,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E6%A0%82%E3%81%AE%E6%9C%A8%E3%83%93%E3%83%AB&ss=ypid.YN5286x2112533153454795862&ppois=32.76654815673828_129.8636474609375_%E6%A0%82%E3%81%AE%E6%9C%A8%E3%83%93%E3%83%AB_YN5286x2112533153454795862~&cp=32.766548~129.863647&v=2&sV=1,090-1198-0063,095-849-1707,ホームエレベーター,,三菱日立,,VFGSA,,,,,ルームレス,,2014/1/1,,K41140200,3人,,200kg,,,,4st,egs,LTE,7037763467,169,"3月	6月	9月	12月",7月,6月,0001-03162,山口　勉,ﾔﾏｸﾞﾁ ﾂﾄﾑ,,,,852-8108,長崎県長崎市川口町4-14,090-1198-0063,095-846-1707,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",山口　勉,ﾔﾏｸﾞﾁ ﾂﾄﾑ,852-8108,長崎県長崎市川口町４－１４,090-1198-0063,095-849-1707,山口　勉,ﾔﾏｸﾞﾁ ﾂﾄﾑ,852-8108,長崎県長崎市川口町４－１４,090-1198-0063,095-849-1707,,,
E-000000713,2025/7/29 11:37,契約中,1,長崎,,2017年3月,自社,N42-0323,107-0487-01,一般,YP6V,1,15000,制約なし,ハーベン大浦,ﾊｰﾍﾞﾝｵｵｳﾗ,850-0916,長崎県長崎市大浦東町2-13,"https://www.google.co.jp/maps/@32.7325671,129.8730961,3a,75y,66.39h,111.35t/data=!3m6!1e1!3m4!1s2t174of5sl8nZPBlUa--CA!2e0!7i16384!8i8192?entry=ttu",,,ルームレスエレベーター,,日立,,UA-2,,2026年12月,,,ロープ式,,2007/10/1,,T37322-1,6人,,450㎏,,60m/min,,6st,egs,LTE,8069814470,69,"1月	3月	5月	7月	9月	11月",11月,未定,0001-00642,ハーベン大浦,ﾊｰﾍﾞﾝｵｵｳﾗ,,,,850-0916,長崎県長崎市大浦東町2-13,090-1920-3026,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",ハーベン大浦,ﾊｰﾍﾞﾝｵｵｳﾗ,850-0916,長崎県長崎市大浦東町２－１３,090-1920-3026,,ハーベン大浦管理組合,ﾊｰﾍﾞﾝｵｵｳﾗｶﾝﾘｸﾐｱｲ,850-0916,長崎県長崎市大浦東町２－１３,090-1920-3026,,,,
E-000000714,2025/7/4 9:43,解約,0,長崎,,2023年4月,自社,107-0456-01,,入札,SMV,1,17000,制約なし,【解約】長崎財務事務所,ﾅｶﾞｻｷｻﾞｲﾑｼﾞﾑｼｮ,850-0052,長崎県長崎市筑後町3-24,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92850-0052%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E7%AD%91%E5%BE%8C%E7%94%BA3-24&ppois=32.752807181783204_129.87394735618025_%E3%80%92850-0052%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E7%AD%91%E5%BE%8C%E7%94%BA3-24_~&cp=32.752807~129.873947&v=2&sV=1&FORM=MIRE&qpvt=%e9%95%b7%e5%b4%8e%e7%9c%8c%e9%95%b7%e5%b4%8e%e5%b8%82%e7%ad%91%e5%be%8c%e7%94%ba3-24,095-827-7095,,ルームレスエレベーター,,三菱,,VFGLB,,,,,ルームレス,,2025/10/14,,GK-954,13人,,900㎏,,,,3st,,,090-6019-2212,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",6月,未定,,長崎財務事務所,ﾅｶﾞｻｷｻﾞｲﾑｼﾞﾑｼｮ,,,,850-0052,長崎県長崎市筑後町3-24,095-827-7095,095-811-7030,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",長崎財務事務所,ﾅｶﾞｻｷｻﾞｲﾑｼﾞﾑｼｮ,850-0052,長崎県長崎市筑後町３－２４,095-827-7095,095-811-7030,長崎財務事務所,ﾅｶﾞｻｷｻﾞｲﾑｼﾞﾑｼｮ,850-0052,長崎県長崎市筑後町３－２４,095-827-7095,095-811-7030,入札で他社落札のため解約2024.3,,
E-000000715,2025/7/29 11:37,契約中,1,長崎,,2015年7月,自社,N42-0295,107-0458-01,一般,YP4,1,8000,制約なし,グループホーム和が家,ｸﾞﾙｰﾌﾟﾎｰﾑﾜｶﾞﾔ,851-0301,長崎県長崎市深堀町5-216-2,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92851-0301%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%B7%B1%E5%A0%80%E7%94%BA5%E4%B8%81%E7%9B%AE216-2&ppois=32.68543719352871_129.8227191335601_%E3%80%92851-0301%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%B7%B1%E5%A0%80%E7%94%BA5%E4%B8%81%E7%9B%AE216-2_~&cp=32.685437~129.822719&v=2&sV=1&FORM=MIRE&qpvt=%e9%95%b7%e5%b4%8e%e7%9c%8c%e9%95%b7%e5%b4%8e%e5%b8%82%e6%b7%b1%e5%a0%80%e7%94%ba5-216-2,095-832-3360,,ホームエレベーター,,三菱日立,,VFGS,,,,,ルームレス,,2025/2/6,,41-06011,3人,,200kg,,,,2st,,,,,"1月	4月	7月	10月",10月,未定,0001-02598,株式会社ペシェ・ドマーニ,ｶﾌﾞｼｷｶｲｼｬﾍﾟｼｪ･ﾄﾞﾏｰﾆ,,,,851-0301,長崎県長崎市深堀町5-216-2,095-832-3360,095-832-3370,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",株式会社ペシェ・ドマーニ,ｶﾌﾞｼｷｶｲｼｬﾍﾟｼｪ･ﾄﾞﾏｰﾆ,851-0301,長崎県長崎市深堀町５－２１６－２,095-832-3360,095-832-3370,小野悦子,ｵﾉｴﾂｺ,851-0310,長崎県長崎市香焼町５６３－１市営本村アパート２０４,095-871-6563,,,,
E-000000716,2025/7/29 11:37,契約中,1,長崎,,2017年2月,自社,N42-0322,107-0486-01,一般,YP4V,1,12000,制約なし,円口ビル出島町,ｴﾝｸﾞﾁﾋﾞﾙﾃﾞｼﾞﾏﾏﾁ,850-0862,長崎県長崎市出島町3-10,"https://www.google.co.jp/maps/@32.7411366,129.8729201,3a,75y,318.7h,90t/data=!3m7!1e1!3m5!1sDkRBQeqLhAXPvrbC0nQjVg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DDkRBQeqLhAXPvrbC0nQjVg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D318.70242%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu",,,ロープ式エレベーター,,三菱,,VFGLBRM,,,,,ロープ式,,2012/7/1,,ZG-K44,9人,,600㎏,,45m/min,,6st,egs,LTE,7023250755,26,"2月	5月	8月	11月",11月,未定,0001-00299,株式会社円口塗装,ｴﾝｸﾞﾁﾄｿｳ,,,,852-8053,長崎県長崎市葉山2-24-2,095-857-6969,095-857-6969,円口塗装,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",円口塗装,ｴﾝｸﾞﾁﾄｿｳ,852-8053,長崎県長崎市葉山２－２４－２,095-857-6969,095-857-6969,円口塗装,ｴﾝｸﾞﾁﾄｿｳ,852-8053,長崎県長崎市葉山２－２４－２,095-857-6969,095-857-6969,,,
E-000000717,2025/7/4 9:43,解約,0,長崎,,2022年4月,自社,107-0459-01,,入札,SP,3,22500,資格者+補助者,【解約】長崎県立島原特別支援学校高等部増築棟,ﾅｶﾞｻｷｹﾝﾘﾂｼﾏﾊﾞﾗﾄｸﾍﾞﾂｼｴﾝｶﾞｯｺｳｺｳﾄｳﾌﾞｿﾞｳﾁｸﾄｳ,855-0841,長崎県雲仙市崩山町2800-3,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92855-0871%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E5%B3%B6%E5%8E%9F%E5%B8%82%E5%8D%97%E5%B4%A9%E5%B1%B1%E7%94%BA%E4%B8%812800-3&ppois=32.75694422370341_130.368750677213_%E3%80%92855-0871%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E5%B3%B6%E5%8E%9F%E5%B8%82%E5%8D%97%E5%B4%A9%E5%B1%B1%E7%94%BA%E4%B8%812800-3_~&cp=32.756944~130.368751&v=2&sV=1&FORM=MIRE&qpvt=%e9%95%b7%e5%b4%8e%e7%9c%8c%e9%9b%b2%e4%bb%99%e5%b8%82%e5%b4%a9%e5%b1%b1%e7%94%ba2800-3,,0957-65-4161,ルームレスエレベーター,,三菱,,VFGLB,,,,,ルームレス,,2025/1/14,,E-GL-022,13人,,900㎏,,,,2st,,,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",,未定,,長崎県立島原特別支援学校,ﾅｶﾞｻｷｹﾝﾘﾂｼﾏﾊﾞﾗﾄｸﾍﾞﾂｼｴﾝｶﾞｯｺｳ,,,,855-0043,長崎県島原市新田町562,0957-65-0350,0957-64-4466,,"3月	6月	9月	12月",,,,,,,,,,,,,,,
E-000000718,2025/7/29 11:37,契約中,1,長崎,,2015年9月,自社,N42-0298,107-0464-01,一般,YP4VC,1,12000,制約なし,ボンヌール古町,ﾎﾞﾝﾇｰﾙﾌﾙﾏﾁ,850-0026,長崎県長崎市古町23,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92850-0026%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E5%8F%A4%E7%94%BA23&ppois=32.75011864336108_129.8821328961394_%E3%80%92850-0026%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E5%8F%A4%E7%94%BA23_~&cp=32.750119~129.882133&v=2&sV=1&FORM=MIRE&qpvt=%e9%95%b7%e5%b4%8e%e7%9c%8c%e9%95%b7%e5%b4%8e%e5%b8%82%e5%8f%a4%e7%94%ba23,095-825-3795,,ロープ式エレベーター,,フジテック,,エクシオールリニューアル,不明,,,,ロープ式,,2012/1/1,,SAA2534,6人,,450㎏,,,,9st,,,070-5561-9396,,"1月	4月	7月	10月",7月,未定,0001-01010,株式会社長崎ガードシステム,ｶﾌﾞｼｷｶｲｼｬﾅｶﾞｻｷｶﾞｰﾄﾞｼｽﾃﾑ,,,,850-0037,長崎県長崎市金屋町4-5 第一昭成レジデンス2F,095-825-3795,095-825-4250,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",ボンヌール古町管理組合,ﾎﾞﾝﾇｰﾙﾌﾙﾏﾁｶﾝﾘｸﾐｱｲ,850-0026,長崎県長崎市古町２３,,,株式会社長崎ガードシステム,ｶﾌﾞｼｷｶｲｼｬﾅｶﾞｻｷｶﾞｰﾄﾞｼｽﾃﾑ,850-0037,長崎県長崎市金屋町４－５　第一昭成レジデンス２Ｆ,095-825-3795,095-825-4250,,,
E-000000719,2025/7/29 11:37,契約中,1,長崎,,2014年6月,自社,N42-0321,107-0485-01,一般,YP4V,1,12000,制約なし,円口ビル江戸町,ｴﾝｸﾞﾁﾋﾞﾙｴﾄﾞﾏﾁ,850-0861,長崎県長崎市江戸町13-6,"https://www.google.co.jp/maps/@32.744487,129.8751637,3a,75y,357.9h,109.79t/data=!3m6!1e1!3m4!1sleHuXytJYUclWqWiGpgZVg!2e0!7i16384!8i8192?entry=ttu",,,ロープ式エレベーター,,三菱,,VFELM,,,,,ロープ式,,1999/2/1,,Z5-878,6人,,400kg,,45m/min,,9st,,,070-6912-3568,,"1月	4月	7月	10月",5月,4月,0001-00103,円口　高志,ｴﾝｸﾞﾁﾀｶｼ,,,,852-8053,長崎県長崎市葉山2-24-2,095-857-6969,095-857-6969,株式会社円口塗装,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",円口　高志,ｴﾝｸﾞﾁﾀｶｼ,852-8053,長崎県長崎市葉山２－２４－２,095-857-6969,095-857-6969,株式会社円口塗装,ｴﾝｸﾞﾁﾄｿｳ,852-8053,長崎県長崎市葉山２－２４－２,095-857-6969,095-857-6969,,,
E-000000720,2025/7/30 14:46,契約中,1,長崎,,2017年6月,自社,N42-0319,107-0483-01,一般,YP6V,1,13000,制約なし,ライオンズマンション滑石ガーデン,ﾗｲｵﾝｽﾞﾏﾝｼｮﾝﾅﾒｼｶﾞｰﾃﾞﾝ,850-8061,長崎県長崎市滑石5丁目9-2,"https://www.google.co.jp/maps/place/%E3%80%92852-8061+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%BB%91%E7%9F%B3%EF%BC%95%E4%B8%81%E7%9B%AE%EF%BC%99%E2%88%92%EF%BC%92/@32.8037133,129.8307032,17z/data=!3m1!4b1!4m6!3m5!1s0x356aad6c392d3c1f:0x67941aec0824a105!8m2!3d32.8037088!4d129.8332781!16s%2Fg%2F12hxp39gl?entry=ttu",,,油圧式エレベーター,,東芝,,西部製リニューアル,CH40,,,,油圧式,,1986/1/1,,DEU5296-17C,9人,,600㎏,,45m/min,,7st,egs,LTE,9044323375,56,"1月	3月	5月	7月	9月	11月",11月,未定,0001-00905,ライオンズマンション滑石ガーデン管理組合,ﾗｲｵﾝｽﾞﾏﾝｼｮﾝﾅﾒｼｶﾞｰﾃﾞﾝｶﾝﾘｸﾐｱｲ,,,,852-8061,長崎県長崎市滑石5丁目9-2,090-1191-0539,,管理者,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",ライオンズマンション滑石ガーデン管理組合,ﾗｲｵﾝｽﾞﾏﾝｼｮﾝﾅﾒｼｶﾞｰﾃﾞﾝｶﾝﾘｸﾐｱｲ,852-8061,長崎県長崎市滑石５丁目９－２,090-1191-0539,,株式会社　大京アステージ九州支店,ﾀﾞｲｷｮｳｱｽﾃｰｼﾞｷｭｳｼｭｳｼﾃﾝ,812-0011,福岡県福岡市博多区博多駅前４－４－１５博多駅前Ｈ－４４ビル６Ｆ,092-452-2468,092-452-2471,,,
E-000000721,2025/7/29 11:37,解約,0,長崎,,2020年5月,自社,107-0455-01,,入札,SPV,1,5000,資格者1名,【解約】ロイヤルスタンド棟　１号機,ﾛｲﾔﾙｽﾀﾝﾄﾞﾄｳ,856-0834,長崎県大村市玖島1-15-1,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E3%83%9C%E3%83%BC%E3%83%88%E3%83%AC%E3%83%BC%E3%82%B9%E5%A4%A7%E6%9D%91&ss=ypid.YN5286x3557486&ppois=32.8971061706543_129.9517364501953_%E3%83%9C%E3%83%BC%E3%83%88%E3%83%AC%E3%83%BC%E3%82%B9%E5%A4%A7%E6%9D%91_YN5286x3557486~&cp=32.897106~129.951736&v=2&sV=1,0957-54-4111,0957-54-1001,ロープ式エレベーター,,三菱,,,,,,,ロープ式,,2019/3/1,,M-ZG-OWW,6人,,450㎏,,45m/min,,2st,VESPlus,,080-4290-3964,,"1月	2月	3月	5月	6月	7月	8月	9月	10月	11月	12月",12月,未定,0587-00793,大村市役所契約課,ｵｵﾑﾗｼﾔｸｼｮｹｲﾔｸｶ,,,,856-0834,長崎県大村市玖島1-25,0957-53-4111,0957-53-5297,,"1月	2月	3月	5月	6月	7月	8月	9月	10月	11月	12月",大村市役所契約課,ｵｵﾑﾗｼﾔｸｼｮｹｲﾔｸｶ,856-0834,長崎県大村市玖島１５－１,0957-53-4111,0957-53-5297,競艇企業局施設課,ｷｮｳﾃｲｷｷﾞｮｳｼｾﾂｶ,856-0834,長崎県大村市玖島１－１５－１,0957-54-4111,0957-54-1001,"検査月のみ￥19,600/1台（EVのみ） 別途請求あり
2024.4解約",,
E-000000722,2025/7/29 11:37,解約,0,長崎,,2020年5月,自社,107-0455-02,,入札,SPV,1,5000,資格者1名,【解約】ロイヤルスタンド棟　２号機,ﾛｲﾔﾙｽﾀﾝﾄﾞﾄｳ,856-0834,長崎県大村市玖島1-15-1,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E3%83%9C%E3%83%BC%E3%83%88%E3%83%AC%E3%83%BC%E3%82%B9%E5%A4%A7%E6%9D%91&ss=ypid.YN5286x3557486&ppois=32.8971061706543_129.9517364501953_%E3%83%9C%E3%83%BC%E3%83%88%E3%83%AC%E3%83%BC%E3%82%B9%E5%A4%A7%E6%9D%91_YN5286x3557486~&cp=32.897106~129.951736&v=2&sV=1,0957-54-4111,0957-54-1001,ロープ式エレベーター,,三菱,,,,,,,ロープ式,,2019/3/1,,M-ZG-OWW,6人,,450㎏,,45m/min,,2st,VESPlus,,080-4290-3964,,"1月	2月	3月	5月	6月	7月	8月	9月	10月	11月	12月",12月,未定,0587-00794,大村市役所契約課,ｵｵﾑﾗｼﾔｸｼｮｹｲﾔｸｶ,,,,856-0834,長崎県大村市玖島1-25,0957-53-4111,0957-53-5297,,"1月	2月	3月	5月	6月	7月	8月	9月	10月	11月	12月",大村市役所契約課,ｵｵﾑﾗｼﾔｸｼｮｹｲﾔｸｶ,856-0834,長崎県大村市玖島１５－１,0957-53-4111,0957-53-5297,競艇企業局施設課,ｷｮｳﾃｲｷｷﾞｮｳｼｾﾂｶ,856-0834,長崎県大村市玖島１－１５－１,0957-54-4111,0957-54-1001,"検査月のみ￥19,600/1台（EVのみ） 別途請求あり
2024.4解約",,
E-000000723,2025/7/4 9:43,解約,0,長崎,,2020年5月,自社,107-0455-03,,入札,SP,1,3500,資格者1名,【解約】ロイヤルスタンド棟　３号機,ﾛｲﾔﾙｽﾀﾝﾄﾞﾄｳ,856-0834,長崎県大村市玖島1-15-1,https://www.bing.com/maps?&mepi=0~~Unknown~Address_Link&ty=18&q=%E3%83%9C%E3%83%BC%E3%83%88%E3%83%AC%E3%83%BC%E3%82%B9%E5%A4%A7%E6%9D%91&ss=ypid.YN5286x3557486&ppois=32.8971061706543_129.9517364501953_%E3%83%9C%E3%83%BC%E3%83%88%E3%83%AC%E3%83%BC%E3%82%B9%E5%A4%A7%E6%9D%91_YN5286x3557486~&cp=32.897106~129.951736&v=2&sV=1,0957-54-4111,0957-54-1001,リフト(テーブルタイプ),,菱電,,,,,,,ロープ式,,,,,,,30㎏,,,,3st,,,,,"1月	2月	3月	5月	6月	7月	8月	9月	10月	11月	12月",検査なし,未定,0587-00793,大村市役所契約課,ｵｵﾑﾗｼﾔｸｼｮｹｲﾔｸｶ,,,,856-0834,長崎県大村市玖島1-25,0957-53-4111,0957-53-5297,,"1月	2月	3月	5月	6月	7月	8月	9月	10月	11月	12月",大村市役所契約課,ｵｵﾑﾗｼﾔｸｼｮｹｲﾔｸｶ,856-0834,長崎県大村市玖島１５－１,0957-53-4111,0957-53-5297,競艇企業局施設課,ｷｮｳﾃｲｷｷﾞｮｳｼｾﾂｶ,856-0834,長崎県大村市玖島１－１５－１,0957-54-4111,0957-54-1001,2024.4解約,,
E-000000724,2025/7/4 9:43,解約,0,長崎,,2016年1月,自社,107-0466-01,N42-0299,一般,YP6,1,14000,制約なし,【解約】コロッケ倶楽部長崎本店,ｺﾛｯｹｸﾗﾌﾞﾅｶﾞｻｷﾎﾝﾃﾝ,850-0853,長崎県長崎市浜町11-18,https://www.bing.com/maps?&mepi=23~~TopOfPage~LargeMapLink&ty=18&q=%E3%80%92850-0853%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%B5%9C%E7%94%BA11-18&ppois=32.74354700648908_129.88002499990267_%E3%80%92850-0853%20%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%B5%9C%E7%94%BA11-18_~&cp=32.743547~129.880025&v=2&sV=1&FORM=MIRE&qpvt=%e9%95%b7%e5%b4%8e%e7%9c%8c%e9%95%b7%e5%b4%8e%e5%b8%82%e6%b5%9c%e7%94%ba11-18,095-825-3795,,ルームレスエレベーター,,フジテック,,エクシオール,,,,,ルームレス,,2025/4/15,,EJA5314,13人,,900㎏,,,,4st,,,,,"1月	3月	5月	7月	9月	11月",11月,未定,0001-03243,株式会社西部エレベーターサービス,ｾｲﾌﾞｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽ,代表取締役,千賀　洋平,,802-0814,長崎県北九州市小倉南区蜷田若園2丁目2番2号,093-941-5860,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",株式会社エコライフガイア,ｶﾌﾞｼｷｶｲｼｬｴｺﾗｲﾌｶﾞｲｱ,850-0874,長崎県長崎市魚の町１－２３フォーレ長崎１Ｆ,095-865-9258,095-865-9257,株式会社ボナー,ｶﾌﾞｼｷｶｲｼｬﾎﾞﾅｰ,802-0044,福岡県北九州市小倉北区熊本２－１０－１０,093-551-0008,093-531-7577,2024年7月閉業の為解約,,
E-000000725,2025/7/29 11:37,契約中,1,長崎,,2018年11月,自社,N42-0317,107-0481-01,一般,SPV,1,17000,制約なし,Ｌｉｂｅｒｔｅかじや町,ﾘﾍﾞﾙﾃｶｼﾞﾔﾏﾁ,850-0831,長崎県長崎市鍛冶屋町5-4,"https://www.google.co.jp/maps/place/%E3%83%AA%E3%83%99%E3%83%AB%E3%83%86%E3%81%8B%E3%81%98%E3%82%84%E7%94%BA/@32.7447309,129.8813412,3a,75y,135.33h,93.62t/data=!3m6!1e1!3m4!1sT-B2V8VTevHldk0lPBOWug!2e0!7i16384!8i8192!4m16!1m9!3m8!1s0x351553411eac94d5:0xa0507494c33c186d!2z44CSODUwLTA4MzEg6ZW35bSO55yM6ZW35bSO5biC6Y2b5Ya25bGL55S677yV4oiS77yU!3b1!8m2!3d32.7445674!4d129.8813553!10e5!16s%2Fg%2F12jskcqsg!3m5!1s0x351553411913ffff:0xc1862135d18aad6c!8m2!3d32.7445957!4d129.8814758!16s%2Fg%2F11gh2slv2n?entry=ttu",,,ルームレスエレベーター,,日立,,UA-14,,,,,ルームレス,,2016/1/1,,RA0917-1,6人,,450㎏,,60m/min,,8st,VESⅢ,LTE,093-287-9143,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",1月,未定,0001-03266,井上 健太郎,ｲﾉｳｴｹﾝﾀﾛｳ,,,,850-0079,長崎市みなと坂2-13-8,095-818-8806,,株式会社プレイス不動産長崎,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",井上健太郎,ｲﾉｳｴｹﾝﾀﾛｳ,850-0079,長崎県長崎市みなと坂２－１３－８,,,株式会社プレイス不動産長崎,ﾌﾟﾚｲｽﾌﾄﾞｳｻﾝﾅｶﾞｻｷ,850-0045,長崎県長崎市宝町３－１－２０１号,095-818-8806,095-818-8809,,,
